y1;y2;y3;y4;y5;y6;y7;y8;y9;y10;y11;y12;y13;y14;y15;y16;y17;y18;y19;y20
0.938;0.948;0.953;0.959;0.964;0.969;0.971;0.973;0.978;0.979;0.984;0.987;0.99;0.991;0.993;0.995;0.998;0.999;1;1.001
0.922;0.934;0.941;0.949;0.955;0.96;0.964;0.968;0.972;0.974;0.98;0.984;0.998;0.99;0.992;0.995;0.998;0.999;1;1.001
0.905;0.92;0.928;0.938;0.946;0.951;0.956;0.962;0.965;0.969;0.976;0.981;0.985;0.988;0.99;0.994;0.997;0.999;1;1.001
0.887;0.905;0.914;0.927;0.937;0.943;0.949;0.956;0.959;0.964;0.972;0.978;0.983;0.986;0.989;0.994;0.997;0.999;1;1.001
0.868;0.889;0.9;0.916;0.928;0.934;0.942;0.949;0.953;0.959;0.968;0.975;0.98;0.983;0.987;0.992;0.996;0.998;1;1.002
0.849;0.872;0.887;0.905;0.919;0.926;0.934;0.943;0.948;0.954;0.964;0.972;0.978;0.981;0.985;0.991;0.995;0.998;1;1.002
0.829;0.855;0.874;0.894;0.909;0.918;0.926;0.937;0.942;0.949;0.96;0.969;0.976;0.979;0.983;0.99;0.994;0.998;1;1.002
0.81;0.839;0.862;0.883;0.9;0.909;0.919;0.93;0.937;0.944;0.956;0.966;0.974;0.978;0.982;0.989;0.994;0.998;1;1.002
0.79;0.822;0.849;0.872;0.89;0.9;0.912;0.923;0.931;0.939;0.952;0.963;0.971;0.976;0.981;0.988;0.993;0.997;1;1.003
0.769;0.804;0.835;0.861;0.881;0.893;0.905;0.917;0.926;0.935;0.949;0.961;0.969;0.974;0.98;0.987;0.993;0.997;1;1.003
0.747;0.785;0.82;0.85;0.871;0.885;0.898;0.911;0.921;0.93;0.945;0.958;0.967;0.972;0.978;0.986;0.992;0.997;1.001;1.004
0.722;0.767;0.806;0.839;0.861;0.878;0.89;0.905;0.916;0.925;0.942;0.955;0.965;0.971;0.977;0.985;0.992;0.997;1.001;1.004
0.698;0.748;0.791;0.827;0.851;0.87;0.883;0.899;0.91;0.92;0.938;0.952;0.962;0.969;0.975;0.984;0.991;0.997;1.001;1.005
0.672;0.729;0.776;0.815;0.842;0.861;0.876;0.893;0.905;0.916;0.935;0.95;0.96;0.967;0.974;0.983;0.991;0.997;1.001;1.005
0.645;0.71;0.761;0.802;0.832;0.852;0.87;0.887;0.899;0.911;0.931;0.947;0.958;0.965;0.972;0.983;0.99;0.996;1.001;1.006
0.618;0.69;0.748;0.791;0.823;0.845;0.863;0.881;0.895;0.906;0.927;0.944;0.956;0.963;0.971;0.982;0.99;0.996;1.001;1.006
0.59;0.67;0.734;0.78;0.813;0.838;0.856;0.875;0.89;0.901;0.923;0.941;0.953;0.961;0.97;0.981;0.989;0.996;1.001;1.007
0.555;0.647;0.719;0.768;0.803;0.829;0.849;0.869;0.885;0.897;0.92;0.939;0.951;0.96;0.969;0.98;0.989;0.996;1.001;1.007
0.52;0.624;0.703;0.755;0.793;0.82;0.842;0.862;0.879;0.893;0.917;0.936;0.949;0.958;0.967;0.979;0.988;0.996;1.002;1.008
0.482;0.602;0.688;0.743;0.783;0.812;0.836;0.856;0.874;0.889;0.913;0.933;0.947;0.957;0.966;0.979;0.988;0.996;1.002;1.008
0.444;0.58;0.672;0.731;0.773;0.804;0.829;0.85;0.869;0.884;0.909;0.93;0.945;0.955;0.964;0.978;0.987;0.996;1.002;1.008
0.398;0.555;0.656;0.719;0.763;0.797;0.823;0.845;0.864;0.88;0.905;0.928;0.943;0.954;0.963;0.978;0.987;0.996;1.002;1.008
0.351;0.53;0.64;0.707;0.753;0.789;0.817;0.839;0.859;0.876;0.901;0.925;0.941;0.952;0.962;0.977;0.987;0.996;1.002;1.009
0.307;0.505;0.623;0.695;0.743;0.781;0.81;0.834;0.855;0.872;0.898;0.923;0.94;0.951;0.961;0.976;0.986;0.996;1.002;1.009
0.263;0.48;0.605;0.682;0.732;0.772;0.803;0.828;0.85;0.868;0.895;0.92;0.938;0.949;0.96;0.975;0.986;0.996;1.002;1.01
0.259;0.453;0.588;0.67;0.721;0.765;0.797;0.824;0.846;0.864;0.892;0.918;0.936;0.947;0.959;0.975;0.986;0.996;1.002;1.01
0.254;0.425;0.57;0.657;0.71;0.757;0.791;0.817;0.841;0.859;0.889;0.915;0.934;0.946;0.957;0.974;0.985;0.995;1.003;1.01
0.253;0.409;0.556;0.646;0.701;0.75;0.785;0.811;0.837;0.855;0.886;0.913;0.932;0.945;0.956;0.973;0.985;0.995;1.003;1.01
0.251;0.393;0.541;0.634;0.691;0.742;0.779;0.805;0.832;0.851;0.882;0.91;0.93;0.943;0.954;0.972;0.984;0.995;1.003;1.011
0.251;0.386;0.529;0.623;0.682;0.735;0.773;0.8;0.828;0.847;0.88;0.908;0.929;0.942;0.953;0.972;0.984;0.995;1.003;1.011
0.252;0.378;0.517;0.612;0.672;0.728;0.767;0.795;0.823;0.843;0.877;0.905;0.927;0.941;0.952;0.971;0.983;0.995;1.004;1.012
0.256;0.374;0.507;0.602;0.664;0.72;0.761;0.79;0.819;0.84;0.874;0.903;0.925;0.94;0.951;0.971;0.983;0.995;1.004;1.012
0.26;0.37;0.497;0.592;0.656;0.712;0.755;0.784;0.815;0.837;0.871;0.9;0.923;0.938;0.95;0.97;0.983;0.995;1.004;1.012
0.265;0.37;0.489;0.582;0.648;0.706;0.75;0.779;0.811;0.834;0.869;0.899;0.922;0.937;0.949;0.97;0.983;0.995;1.004;1.012
0.27;0.369;0.48;0.572;0.64;0.699;0.744;0.774;0.806;0.83;0.866;0.897;0.921;0.936;0.948;0.969;0.982;0.995;1.005;1.013
0.275;0.369;0.474;0.564;0.634;0.693;0.738;0.771;0.803;0.827;0.864;0.895;0.92;0.935;0.948;0.969;0.982;0.995;1.005;1.013
0.28;0.37;0.467;0.555;0.627;0.687;0.732;0.767;0.799;0.824;0.861;0.893;0.918;0.933;0.947;0.968;0.982;0.995;1.006;1.014
